RK,NAME,TEAM,SALARY
85,"Kelly Oubre Jr., SG",Golden State Warriors,"$14,375,000"
86,"Dejounte Murray, PG",San Antonio Spurs,"$14,286,000"
87,"Will Barton, SF",Denver Nuggets,"$13,723,214"
88,"Marcin Gortat, C",LA Clippers,"$13,565,218"
89,"Thaddeus Young, PF",Chicago Bulls,"$13,545,000"
90,"Patty Mills, PG",San Antonio Spurs,"$13,535,714"
91,"Terrence Ross, SG",Orlando Magic,"$13,500,000"
92,"Marcus Smart, PG",Boston Celtics,"$13,446,428"
93,"Malik Beasley, SG",Minnesota Timberwolves,"$13,425,895"
94,"Patrick Beverley, PG",LA Clippers,"$13,333,333"
95,"Christian Wood, C",Houston Rockets,"$13,015,873"
96,"JJ Redick, SG",Dallas Mavericks,"$13,013,700"
97,"Justise Winslow, PF",Memphis Grizzlies,"$13,000,000"
98,"Jusuf Nurkic, C",Portland Trail Blazers,"$12,888,889"
99,"Trevor Ariza, SF",Miami Heat,"$12,800,000"
100,"Courtney Lee, G",Dallas Mavericks,"$12,759,670"
101,"Brook Lopez, C",Milwaukee Bucks,"$12,697,674"
102,"Cory Joseph, PG",Detroit Pistons,"$12,600,000"
103,"Kelly Olynyk, PF",Houston Rockets,"$12,598,243"
104,"Miles Plumlee, C",Memphis Grizzlies,"$12,500,000"
105,"Nikola Mirotic, F",Milwaukee Bucks,"$12,500,000"
106,"T.J. Warren, SF",Indiana Pacers,"$12,500,000"
107,"Tyreke Evans, G",Indiana Pacers,"$12,400,000"
108,"Markelle Fultz, PG",Orlando Magic,"$12,288,697"
109,"Taurean Prince, PF",Cleveland Cavaliers,"$12,250,000"
110,"Tony Snell, SF",Atlanta Hawks,"$12,178,571"
111,"Robert Covington, PF",Portland Trail Blazers,"$12,138,345"
112,"Kentavious Caldwell-Pope, SG",Los Angeles Lakers,"$12,073,020"
113,"Larry Nance Jr., PF",Cleveland Cavaliers,"$11,709,091"
114,"Zach Randolph, F",Dallas Mavericks,"$11,692,308"
115,"Jordan Clarkson, PG",Utah Jazz,"$11,500,000"
116,"Spencer Dinwiddie, PG",Brooklyn Nets,"$11,454,048"
117,"Dillon Brooks, SF",Memphis Grizzlies,"$11,400,000"
118,"Omer Asik, C",Chicago Bulls,"$11,286,516"
119,"Dwight Powell, C",Dallas Mavericks,"$11,080,125"
120,"Lonzo Ball, PG",New Orleans Pelicans,"$11,003,782"
121,"Norman Powell, SF",Portland Trail Blazers,"$10,865,952"
122,"Josh Richardson, SG",Dallas Mavericks,"$10,865,952"
123,"Joe Ingles, SG",Utah Jazz,"$10,863,637"
124,"Jeremy Lamb, SG",Indiana Pacers,"$10,500,000"
125,"DeAndre Jordan, C",Brooklyn Nets,"$10,375,678"
126,"Zion Williamson, PF",New Orleans Pelicans,"$10,245,480"
127,"Rodney Hood, SG",Toronto Raptors,"$10,047,450"
128,"Darren Collison, G",Indiana Pacers,"$10,000,000"
129,"Tomas Satoransky, SG",Chicago Bulls,"$10,000,000"
130,"Jayson Tatum, SF",Boston Celtics,"$9,897,120"
131,"Anthony Edwards, SF",Minnesota Timberwolves,"$9,757,440"
132,"Al-Farouq Aminu, PF",Chicago Bulls,"$9,720,900"
133,"Dante Exum, PG",Cleveland Cavaliers,"$9,600,000"
134,"George Hill, G",Philadelphia 76ers,"$9,590,602"
135,"De'Anthony Melton, SG",Memphis Grizzlies,"$9,571,712"
136,"Deandre Ayton, C",Phoenix Suns,"$9,562,920"
137,"Kyle Anderson, SF",Memphis Grizzlies,"$9,505,100"
138,"Meyers Leonard, C",Miami Heat,"$9,400,000"
139,"Derrick Favors, C",Utah Jazz,"$9,258,000"
140,"Derrick Jones Jr., SF",Portland Trail Blazers,"$9,258,000"
141,"Jae Crowder, PF",Phoenix Suns,"$9,258,000"
142,"Montrezl Harrell, C",Los Angeles Lakers,"$9,258,000"
143,"Serge Ibaka, C",LA Clippers,"$9,258,000"
144,"Tristan Thompson, C",Boston Celtics,"$9,258,000"
145,"Dario Saric, PF",Phoenix Suns,"$9,250,000"
146,"Ja Morant, PG",Memphis Grizzlies,"$9,166,800"
147,"Delon Wright, G",Sacramento Kings,"$9,000,000"
148,"Marvin Bagley III, PF",Sacramento Kings,"$8,963,640"
149,"Cedi Osman, SF",Cleveland Cavaliers,"$8,840,580"
150,"Tyus Jones, PG",Memphis Grizzlies,"$8,817,143"
151,"James Wiseman, C",Golden State Warriors,"$8,730,240"
152,"Royce O'Neale, PF",Utah Jazz,"$8,500,000"
153,"Thomas Bryant, C",Washington Wizards,"$8,333,333"
154,"C.J. Miles, SG",Washington Wizards,"$8,333,333"
155,"Maxi Kleber, PF",Dallas Mavericks,"$8,325,000"
156,"RJ Barrett, SG",New York Knicks,"$8,231,760"
157,"Jakob Poeltl, C",San Antonio Spurs,"$8,101,852"
158,"De'Aaron Fox, PG",Sacramento Kings,"$8,099,627"
159,"Luka Doncic, PG",Dallas Mavericks,"$8,049,360"
160,"Mason Plumlee, C",Detroit Pistons,"$8,000,000"
161,"Lou Williams, SG",Atlanta Hawks,"$8,000,000"
162,"P.J. Tucker, PF",Milwaukee Bucks,"$7,969,537"
163,"LaMelo Ball, PG",Charlotte Hornets,"$7,839,960"
164,"Seth Curry, SG",Philadelphia 76ers,"$7,834,449"
165,"Derrick Rose, PG",New York Knicks,"$7,682,927"
166,"Cristiano Felicio, PF",Chicago Bulls,"$7,529,020"
167,"Rajon Rondo, PG",LA Clippers,"$7,500,000"
168,"Darrell Arthur, F",Phoenix Suns,"$7,464,912"
169,"De'Andre Hunter, SF",Atlanta Hawks,"$7,422,000"
170,"Jonathan Isaac, PF",Orlando Magic,"$7,362,566"
171,"Doug McDermott, SF",Indiana Pacers,"$7,333,333"
172,"Robin Lopez, C",Washington Wizards,"$7,300,000"
173,"Jaren Jackson Jr., PF",Memphis Grizzlies,"$7,257,360"
174,"JaMychal Green, PF",Denver Nuggets,"$7,199,760"
175,"Nemanja Bjelica, F",Miami Heat,"$7,150,000"
176,"Patrick Williams, PF",Chicago Bulls,"$7,068,360"
177,"Aron Baynes, C",Toronto Raptors,"$7,000,000"
178,"Darius Miller, SF",Oklahoma City Thunder,"$7,000,000"
179,"Ivica Zubac, C",LA Clippers,"$7,000,000"
180,"Chris Boucher, PF",Toronto Raptors,"$6,750,000"
181,"Lauri Markkanen, PF",Chicago Bulls,"$6,731,508"
182,"Darius Garland, PG",Cleveland Cavaliers,"$6,720,720"
183,"D.J. Augustin, PG",Houston Rockets,"$6,666,667"
184,"Trae Young, PG",Atlanta Hawks,"$6,571,800"
185,"Jabari Parker, PF",Boston Celtics,"$6,500,000"
186,"Juancho Hernangomez, PF",Minnesota Timberwolves,"$6,493,000"
187,"Isaac Okoro, SF",Cleveland Cavaliers,"$6,400,920"
188,"Milos Teodosic, G",LA Clippers,"$6,300,000"
189,"Frank Ntilikina, PG",New York Knicks,"$6,176,578"
190,"Wesley Johnson, F",Washington Wizards,"$6,134,520"
191,"Jarrett Culver, SF",Minnesota Timberwolves,"$6,104,280"
192,"Ish Smith, PG",Washington Wizards,"$6,000,000"
193,"Alec Burks, SG",New York Knicks,"$6,000,000"
194,"Mo Bamba, C",Orlando Magic,"$5,969,040"
195,"Onyeka Okongwu, PF",Atlanta Hawks,"$5,813,640"
196,"Justin Holiday, SF",Indiana Pacers,"$5,720,000"
197,"Jonathon Simmons, G",Washington Wizards,"$5,700,000"
198,"Dennis Smith Jr., PG",Detroit Pistons,"$5,686,677"
199,"Avery Bradley, PG",Houston Rockets,"$5,635,000"
200,"Coby White, PG",Chicago Bulls,"$5,572,680"
201,"Trey Lyles, PF",San Antonio Spurs,"$5,500,000"
202,"Alex Abrines, G",Oklahoma City Thunder,"$5,455,236"
203,"Jason Smith, F",New Orleans Pelicans,"$5,450,000"
204,"Wendell Carter Jr., C",Orlando Magic,"$5,448,840"
205,"Zach Collins, PF",Portland Trail Blazers,"$5,406,255"
206,"Malik Monk, SG",Charlotte Hornets,"$5,345,687"
207,"Killian Hayes, PG",Detroit Pistons,"$5,307,120"
208,"Alexis Ajinca, C",LA Clippers,"$5,285,394"
209,"Luke Kennard, SG",LA Clippers,"$5,273,826"
210,"Donovan Mitchell, SG",Utah Jazz,"$5,195,501"
211,"Rodney McGruder, SG",Detroit Pistons,"$5,192,307"
212,"Bam Adebayo, C",Miami Heat,"$5,115,492"
213,"Jaxson Hayes, C",New Orleans Pelicans,"$5,105,160"
214,"Justin Jackson, SF",Oklahoma City Thunder,"$5,029,650"
215,"Richaun Holmes, C",Sacramento Kings,"$5,005,350"
216,"Enes Kanter, C",Portland Trail Blazers,"$5,005,350"
217,"Mike Scott, PF",Philadelphia 76ers,"$5,005,350"
218,"Ed Davis, C",Minnesota Timberwolves,"$5,005,350"
219,"Nerlens Noel, C",New York Knicks,"$5,000,000"
220,"Elfrid Payton, PG",New York Knicks,"$5,000,000"
221,"Dirk Nowitzki, F",Dallas Mavericks,"$5,000,000"
222,"Daniel Theis, C",Chicago Bulls,"$5,000,000"
223,"Kyle Singler, F",Oklahoma City Thunder,"$4,996,000"
224,"Collin Sexton, PG",Cleveland Cavaliers,"$4,991,880"
225,"Pat Connaughton, SG",Milwaukee Bucks,"$4,938,272"
226,"Obi Toppin, PF",New York Knicks,"$4,862,040"
227,"Josh Jackson, SG",Detroit Pistons,"$4,767,000"
228,"Garrett Temple, SF",Chicago Bulls,"$4,767,000"
229,"Kris Dunn, PG",Atlanta Hawks,"$4,767,000"
230,"Rui Hachimura, PF",Washington Wizards,"$4,692,840"
231,"Denzel Valentine, SG",Chicago Bulls,"$4,642,800"
232,"Kevin Knox II, SF",New York Knicks,"$4,588,680"
233,"D.J. Wilson, PF",Houston Rockets,"$4,548,280"
234,"Deni Avdija, SF",Washington Wizards,"$4,469,160"
235,"Kevon Looney, C",Golden State Warriors,"$4,464,226"
236,"Cam Reddish, SF",Atlanta Hawks,"$4,458,000"
237,"T.J. Leaf, F",Portland Trail Blazers,"$4,326,825"
238,"Jalen Smith, PF",Phoenix Suns,"$4,245,720"
239,"Reggie Bullock, SF",New York Knicks,"$4,200,000"
240,"JaVale McGee, C",Denver Nuggets,"$4,200,000"
241,"Mikal Bridges, SF",Phoenix Suns,"$4,161,000"
242,"Shai Gilgeous-Alexander, SG",Oklahoma City Thunder,"$4,141,320"
243,"John Collins, PF",Atlanta Hawks,"$4,137,302"
244,"Nicolo Melli, PF",Dallas Mavericks,"$4,102,564"
245,"Willie Cauley-Stein, C",Dallas Mavericks,"$4,100,000"
246,"Devin Vassell, SG",San Antonio Spurs,"$4,033,440"
247,"Cameron Johnson, SF",Phoenix Suns,"$4,033,440"
248,"P.J. Washington, PF",Charlotte Hornets,"$4,023,600"
249,"Patrick McCaw, SF",Toronto Raptors,"$4,000,000"
250,"Dorian Finney-Smith, PF",Dallas Mavericks,"$4,000,000"
251,"Terrance Ferguson, SF",Philadelphia 76ers,"$3,944,013"
252,"Miles Bridges, SF",Charlotte Hornets,"$3,934,320"
253,"Jevon Carter, PG",Phoenix Suns,"$3,925,000"
254,"Jarrett Allen, C",Cleveland Cavaliers,"$3,909,902"
255,"OG Anunoby, SF",Toronto Raptors,"$3,872,215"
256,"Tyrese Haliburton, PG",Sacramento Kings,"$3,831,840"
257,"Stanley Johnson, SF",Toronto Raptors,"$3,804,150"
258,"Jake Layman, SF",Minnesota Timberwolves,"$3,761,085"
259,"Jerome Robinson, SG",Washington Wizards,"$3,737,520"
260,"Danuel House Jr., SF",Houston Rockets,"$3,717,000"
261,"Kira Lewis Jr., PG",New Orleans Pelicans,"$3,640,200"
262,"Romeo Langford, SG",Boston Celtics,"$3,631,200"
263,"Maurice Harkless, SF",Sacramento Kings,"$3,623,000"
264,"Bobby Portis, C",Milwaukee Bucks,"$3,623,000"
265,"Wesley Matthews, SG",Los Angeles Lakers,"$3,623,000"
266,"Kyle Kuzma, SF",Los Angeles Lakers,"$3,562,178"
267,"Allonzo Trier, G",New York Knicks,"$3,551,000"
268,"Michael Porter Jr., SF",Denver Nuggets,"$3,550,800"
269,"Tony Bradley, C",Oklahoma City Thunder,"$3,542,060"
270,"Derrick White, PG",San Antonio Spurs,"$3,516,284"
271,"Bismack Biyombo, C",Charlotte Hornets,"$3,500,000"
272,"Michael Beasley, F",Brooklyn Nets,"$3,500,000"
273,"T.J. McConnell, PG",Indiana Pacers,"$3,500,000"
274,"Austin Rivers, G",Denver Nuggets,"$3,500,000"
275,"Boban Marjanovic, C",Dallas Mavericks,"$3,500,000"
276,"Josh Hart, SG",New Orleans Pelicans,"$3,491,159"
277,"Aaron Nesmith, SF",Boston Celtics,"$3,458,400"
278,"Sekou Doumbouya, SF",Detroit Pistons,"$3,449,400"
279,"Michael Carter-Williams, PG",Orlando Magic,"$3,300,000"
280,"James Ennis III, SF",Orlando Magic,"$3,300,000"
281,"Cole Anthony, PG",Orlando Magic,"$3,285,120"
282,"Troy Brown Jr., F",Chicago Bulls,"$3,219,480"
283,"Facundo Campazzo, PG",Denver Nuggets,"$3,200,000"
284,"Chuma Okeke, PF",Orlando Magic,"$3,121,080"
285,"Isaiah Stewart, C",Detroit Pistons,"$3,121,080"
286,"Nickeil Alexander-Walker, SG",New Orleans Pelicans,"$3,113,160"
287,"Patrick Patterson, PF",LA Clippers,"$3,077,704"
288,"Donte DiVincenzo, SG",Milwaukee Bucks,"$3,044,160"
289,"Khem Birch, C",Toronto Raptors,"$3,000,000"
290,"Trey Burke, PG",Dallas Mavericks,"$3,000,000"
291,"Ryan Arcidiacono, PG",Chicago Bulls,"$3,000,000"
292,"Aleksej Pokusevski, PF",Oklahoma City Thunder,"$2,964,840"
293,"Goga Bitadze, C",Indiana Pacers,"$2,957,520"
294,"Luka Samanic, PF",San Antonio Spurs,"$2,892,000"
295,"Lonnie Walker IV, SG",San Antonio Spurs,"$2,892,000"
296,"Josh Green, SG",Dallas Mavericks,"$2,816,760"
297,"Kevin Huerter, SG",Atlanta Hawks,"$2,761,920"
298,"Alex Caruso, SG",Los Angeles Lakers,"$2,750,000"
299,"Matisse Thybulle, SG",Philadelphia 76ers,"$2,711,280"
300,"Saddiq Bey, SF",Detroit Pistons,"$2,689,920"
301,"Josh Okogie, SF",Minnesota Timberwolves,"$2,651,040"
302,"Marko Guduric, G",Memphis Grizzlies,"$2,625,000"
303,"Vincent Poirier, C",Philadelphia 76ers,"$2,619,207"
304,"Brandon Clarke, PF",Memphis Grizzlies,"$2,602,920"
305,"Precious Achiuwa, PF",Miami Heat,"$2,582,160"
306,"Tyler Herro, PG",Miami Heat,"$2,582,160"
307,"Marc Gasol, C",Los Angeles Lakers,"$2,564,753"
308,"Nene Hilario, C",Atlanta Hawks,"$2,564,753"
309,"Grayson Allen, SG",Memphis Grizzlies,"$2,545,320"
310,"Manu Ginobili, G",San Antonio Spurs,"$2,500,000"
311,"Grant Williams, PF",Boston Celtics,"$2,498,760"
312,"Tyrese Maxey, PG",Philadelphia 76ers,"$2,478,840"
313,"Emeka Okafor, C",Philadelphia 76ers,"$2,445,085"
314,"Kendrick Perkins, C",Cleveland Cavaliers,"$2,445,085"
315,"Chandler Hutchison, F",Washington Wizards,"$2,443,440"
316,"Tyler Zeller, C",Atlanta Hawks,"$2,436,046"
317,"Aaron Holiday, PG",Indiana Pacers,"$2,345,640"
318,"Darius Bazley, PF",Oklahoma City Thunder,"$2,339,160"
319,"Bryn Forbes, SG",Milwaukee Bucks,"$2,337,145"
320,"Ty Jerome, SG",Oklahoma City Thunder,"$2,303,040"
321,"Zeke Nnaji, PF",Denver Nuggets,"$2,284,800"
322,"Mike Muscala, C",Oklahoma City Thunder,"$2,283,034"
323,"Ben McLemore, G",Los Angeles Lakers,"$2,283,034"
324,"Anfernee Simons, SG",Portland Trail Blazers,"$2,252,040"
325,"Brad Wanamaker, PG",Charlotte Hornets,"$2,250,000"
326,"Luke Kornet, C",Boston Celtics,"$2,250,000"
327,"Brandon Jennings, G",Milwaukee Bucks,"$2,222,803"
328,"Nassir Little, SF",Portland Trail Blazers,"$2,210,640"
329,"Payton Pritchard, PG",Boston Celtics,"$2,193,480"
330,"R.J. Hampton, PG",Orlando Magic,"$2,193,040"
331,"Moritz Wagner, C",Orlando Magic,"$2,161,920"
332,"Edmond Sumner, PG",Indiana Pacers,"$2,160,000"
333,"Dylan Windler, SG",Cleveland Cavaliers,"$2,137,440"
334,"Immanuel Quickley, SG",New York Knicks,"$2,105,520"
335,"John Konchar, SG",Memphis Grizzlies,"$2,100,000"
336,"Landry Shamet, SG",Brooklyn Nets,"$2,090,040"
337,"Mfiondu Kabengele, F",Cleveland Cavaliers,"$2,075,880"
338,"Jordan Poole, SG",Golden State Warriors,"$2,063,280"
339,"Bol Bol, C",Denver Nuggets,"$2,058,240"
340,"Sean Kilpatrick, G",Chicago Bulls,"$2,054,856"
341,"Keldon Johnson, SF",San Antonio Spurs,"$2,048,040"
342,"Robert Williams III, C",Boston Celtics,"$2,029,920"
343,"Bruno Caboclo, F",Houston Rockets,"$2,028,594"
344,"Jacob Evans, G",New York Knicks,"$2,017,320"
345,"Dzanan Musa, F",Detroit Pistons,"$2,002,800"
346,"Theo Maledon, PG",Oklahoma City Thunder,"$2,000,000"
347,"Gary Clark, SF",Denver Nuggets,"$2,000,000"
348,"Damyean Dotson, SG",Cleveland Cavaliers,"$2,000,000"
349,"Omari Spellman, F",New York Knicks,"$1,988,280"
350,"Cameron Payne, PG",Phoenix Suns,"$1,977,011"
351,"Udoka Azubuike, C",Utah Jazz,"$1,977,000"
352,"Jaden McDaniels, PF",Minnesota Timberwolves,"$1,964,760"
353,"Malachi Flynn, PG",Toronto Raptors,"$1,950,600"
354,"Desmond Bane, SG",Memphis Grizzlies,"$1,936,440"
355,"Jontay Porter, PF",Memphis Grizzlies,"$1,900,000"
356,"Jahlil Okafor, C",Detroit Pistons,"$1,882,867"
357,"Marquese Chriss, SF",Golden State Warriors,"$1,824,003"
358,"David Nwaba, SF",Houston Rockets,"$1,824,003"
359,"DeAndre Liggins, G",Miami Heat,"$1,795,015"
360,"Georges Niang, SF",Utah Jazz,"$1,783,557"
361,"Rodions Kurucs, SF",Milwaukee Bucks,"$1,780,152"
362,"Furkan Korkmaz, SG",Philadelphia 76ers,"$1,762,796"
363,"Alfonzo McKinnie, SF",Los Angeles Lakers,"$1,762,796"
364,"Damion Lee, SG",Golden State Warriors,"$1,762,796"
365,"PJ Dozier, SG",Denver Nuggets,"$1,762,796"
366,"Abdel Nader, SF",Phoenix Suns,"$1,752,950"
367,"Semi Ojeleye, PF",Boston Celtics,"$1,752,950"
368,"Mario Hezonja, F",Memphis Grizzlies,"$1,737,145"
369,"DeAndre' Bembry, SG",Toronto Raptors,"$1,737,145"
370,"Damian Jones, C",Sacramento Kings,"$1,737,145"
371,"Kevin Porter Jr., SG",Houston Rockets,"$1,717,981"
372,"Shake Milton, SG",Philadelphia 76ers,"$1,701,593"
373,"Thanasis Antetokounmpo, SF",Milwaukee Bucks,"$1,701,593"
374,"Brandon Goodwin, PG",Atlanta Hawks,"$1,701,593"
375,"Jonah Bolden, PF",Phoenix Suns,"$1,698,450"
376,"Dwayne Bacon, SG",Orlando Magic,"$1,678,854"
377,"Dragan Bender, F",Golden State Warriors,"$1,678,854"
378,"Wes Iwundu, SF",New Orleans Pelicans,"$1,678,854"
379,"Gary Trent Jr., SG",Toronto Raptors,"$1,663,861"
380,"Isaac Bonga, G",Washington Wizards,"$1,663,861"
381,"Svi Mykhailiuk, SG",Oklahoma City Thunder,"$1,663,861"
382,"Keita Bates-Diop, SF",San Antonio Spurs,"$1,663,861"
383,"Mitchell Robinson, C",New York Knicks,"$1,663,861"
384,"Bruce Brown, SF",Brooklyn Nets,"$1,663,861"
385,"Duncan Robinson, SG",Miami Heat,"$1,663,861"
386,"Kendrick Nunn, SG",Miami Heat,"$1,663,861"
387,"Jalen Brunson, PG",Dallas Mavericks,"$1,663,861"
388,"Jarred Vanderbilt, PF",Minnesota Timberwolves,"$1,663,361"
389,"Julyan Stone, G",Chicago Bulls,"$1,656,092"
390,"MarShon Brooks, G",Chicago Bulls,"$1,656,092"
391,"Tim Frazier, G",Memphis Grizzlies,"$1,620,564"
392,"Isaiah Taylor, G",Toronto Raptors,"$1,620,564"
393,"Raul Neto, PG",Washington Wizards,"$1,620,564"
394,"Josh Gray, G",Oklahoma City Thunder,"$1,620,564"
395,"Drew Eubanks, PF",San Antonio Spurs,"$1,620,564"
396,"Tyler Lydon, F",Sacramento Kings,"$1,620,564"
397,"Chimezie Metu, PF",Sacramento Kings,"$1,620,564"
398,"Glenn Robinson III, F",Sacramento Kings,"$1,620,564"
399,"Hassan Whiteside, C",Sacramento Kings,"$1,620,564"
400,"Harry Giles III, PF",Portland Trail Blazers,"$1,620,564"
401,"Carmelo Anthony, PF",Portland Trail Blazers,"$1,620,564"
402,"Frank Kaminsky, PF",Phoenix Suns,"$1,620,564"
403,"Langston Galloway, SG",Phoenix Suns,"$1,620,564"
404,"Torrey Craig, SF",Phoenix Suns,"$1,620,564"
405,"E'Twaun Moore, SG",Phoenix Suns,"$1,620,564"
406,"Dwight Howard, C",Philadelphia 76ers,"$1,620,564"
407,"Tyler Johnson, SG",Brooklyn Nets,"$1,620,564"
408,"Jeff Green, PF",Brooklyn Nets,"$1,620,564"
409,"Wilson Chandler, F",Brooklyn Nets,"$1,620,564"
410,"Jeff Teague, PG",Milwaukee Bucks,"$1,620,564"
411,"Udonis Haslem, PF",Miami Heat,"$1,620,564"
412,"Markieff Morris, PF",Los Angeles Lakers,"$1,620,564"
413,"Jared Dudley, SF",Los Angeles Lakers,"$1,620,564"
414,"Reggie Jackson, PG",LA Clippers,"$1,620,564"
415,"DeMarcus Cousins, C",LA Clippers,"$1,620,564"
416,"Nicolas Batum, PF",LA Clippers,"$1,620,564"
417,"JaKarr Sampson, SF",Indiana Pacers,"$1,620,564"
418,"Sterling Brown, SF",Houston Rockets,"$1,620,564"
419,"Ryan Anderson, PF",Houston Rockets,"$1,620,564"
420,"Gerald Green, G",Houston Rockets,"$1,620,564"
421,"Kent Bazemore, SF",Golden State Warriors,"$1,620,564"
422,"Wayne Ellington, SG",Detroit Pistons,"$1,620,564"
423,"Joe Johnson, G",Detroit Pistons,"$1,620,564"
